studyName,Sample_Number,Species,Island,Individual_ID,Date_Egg,Culmen_Length_mm,Culmen_Depth_mm,Flipper_Length_mm,Body_Mass_g,Sex,Delta_15_N,Delta_13_C
PAL0910,126,Adelie Penguin (Pygoscelis adeliae),Torgersen,N69A2,2009-11-18,40.6,19,199,4000,MALE,9.22537,-25.60826
PAL0910,127,Adelie Penguin (Pygoscelis adeliae),Torgersen,N71A1,2009-11-21,38.8,17.6,191,3275,FEMALE,8.88098,-25.89741
PAL0910,128,Adelie Penguin (Pygoscelis adeliae),Torgersen,N71A2,2009-11-21,41.5,18.3,195,4300,MALE,8.52566,-26.0245
PAL0910,129,Adelie Penguin (Pygoscelis adeliae),Torgersen,N72A1,2009-11-18,39,17.1,191,3050,FEMALE,9.19031,-25.73722
PAL0910,130,Adelie Penguin (Pygoscelis adeliae),Torgersen,N72A2,2009-11-18,44.1,18,210,4000,MALE,9.10702,-26.01363
PAL0910,131,Adelie Penguin (Pygoscelis adeliae),Torgersen,N73A1,2009-11-23,38.5,17.9,190,3325,FEMALE,8.9846,-25.57956
PAL0910,132,Adelie Penguin (Pygoscelis adeliae),Torgersen,N73A2,2009-11-23,43.1,19.2,197,3500,MALE,8.86495,-26.1396
PAL0910,133,Adelie Penguin (Pygoscelis adeliae),Dream,N76A1,2009-11-10,36.8,18.5,193,3500,FEMALE,8.98705,-25.57647
PAL0910,134,Adelie Penguin (Pygoscelis adeliae),Dream,N76A2,2009-11-10,37.5,18.5,199,4475,MALE,8.56708,-26.49288
PAL0910,135,Adelie Penguin (Pygoscelis adeliae),Dream,N77A1,2009-11-13,38.1,17.6,187,3425,FEMALE,8.717,-25.77951
PAL0910,136,Adelie Penguin (Pygoscelis adeliae),Dream,N77A2,2009-11-13,41.1,17.5,190,3900,MALE,8.94365,-26.06943
PAL0910,137,Adelie Penguin (Pygoscelis adeliae),Dream,N78A1,2009-11-16,35.6,17.5,191,3175,FEMALE,8.75984,-25.97696
PAL0910,138,Adelie Penguin (Pygoscelis adeliae),Dream,N78A2,2009-11-16,40.2,20.1,200,3975,MALE,8.95998,-26.32601
PAL0910,139,Adelie Penguin (Pygoscelis adeliae),Dream,N79A1,2009-11-16,37,16.5,185,3400,FEMALE,8.61651,-26.07021
PAL0910,140,Adelie Penguin (Pygoscelis adeliae),Dream,N79A2,2009-11-16,39.7,17.9,193,4250,MALE,9.25769,-25.88798
PAL0910,141,Adelie Penguin (Pygoscelis adeliae),Dream,N80A1,2009-11-14,40.2,17.1,193,3400,FEMALE,9.2881,-25.54976
PAL0910,142,Adelie Penguin (Pygoscelis adeliae),Dream,N80A2,2009-11-14,40.6,17.2,187,3475,MALE,9.23408,-26.01549
PAL0910,143,Adelie Penguin (Pygoscelis adeliae),Dream,N81A1,2009-11-16,32.1,15.5,188,3050,FEMALE,8.79787,-26.61075
PAL0910,144,Adelie Penguin (Pygoscelis adeliae),Dream,N81A2,2009-11-16,40.7,17,190,3725,MALE,9.05674,-25.79529
PAL0910,145,Adelie Penguin (Pygoscelis adeliae),Dream,N82A1,2009-11-16,37.3,16.8,192,3000,FEMALE,9.06829,-25.85203
PAL0910,146,Adelie Penguin (Pygoscelis adeliae),Dream,N82A2,2009-11-16,39,18.7,185,3650,MALE,9.22033,-26.03442
PAL0910,147,Adelie Penguin (Pygoscelis adeliae),Dream,N83A1,2009-11-13,39.2,18.6,190,4250,MALE,9.11006,-25.79549
PAL0910,148,Adelie Penguin (Pygoscelis adeliae),Dream,N83A2,2009-11-13,36.6,18.4,184,3475,FEMALE,8.68744,-25.8306
PAL0910,149,Adelie Penguin (Pygoscelis adeliae),Dream,N84A1,2009-11-17,36,17.8,195,3450,FEMALE,8.94332,-25.79189
PAL0910,150,Adelie Penguin (Pygoscelis adeliae),Dream,N84A2,2009-11-17,37.8,18.1,193,3750,MALE,8.97533,-26.03495
PAL0910,151,Adelie Penguin (Pygoscelis adeliae),Dream,N85A1,2009-11-17,36,17.1,187,3700,FEMALE,8.93465,-26.07081
PAL0910,152,Adelie Penguin (Pygoscelis adeliae),Dream,N85A2,2009-11-17,41.5,18.5,201,4000,MALE,8.8964,-26.06967
PAL0910,81,Gentoo penguin (Pygoscelis papua),Biscoe,N1A1,2009-11-18,49.1,14.5,212,4625,FEMALE,8.35802,-26.2766
PAL0910,82,Gentoo penguin (Pygoscelis papua),Biscoe,N1A2,2009-11-18,52.5,15.6,221,5450,MALE,8.28601,-26.27573
PAL0910,83,Gentoo penguin (Pygoscelis papua),Biscoe,N6A1,2009-11-15,47.4,14.6,212,4725,FEMALE,8.19101,-26.24369
PAL0910,84,Gentoo penguin (Pygoscelis papua),Biscoe,N6A2,2009-11-15,50,15.9,224,5350,MALE,8.20042,-26.39677
PAL0910,85,Gentoo penguin (Pygoscelis papua),Biscoe,N8A1,2009-11-22,44.9,13.8,212,4750,FEMALE,8.11238,-26.20372
PAL0910,86,Gentoo penguin (Pygoscelis papua),Biscoe,N8A2,2009-11-22,50.8,17.3,228,5600,MALE,8.27428,-26.30019
PAL0910,87,Gentoo penguin (Pygoscelis papua),Biscoe,N13A1,2009-11-20,43.4,14.4,218,4600,FEMALE,8.2346800000000009,-26.18599
PAL0910,88,Gentoo penguin (Pygoscelis papua),Biscoe,N13A2,2009-11-20,51.3,14.2,218,5300,MALE,8.15426,-26.3433
PAL0910,89,Gentoo penguin (Pygoscelis papua),Biscoe,N14A1,2009-11-25,47.5,14,212,4875,FEMALE,8.12691,-26.23613
PAL0910,90,Gentoo penguin (Pygoscelis papua),Biscoe,N14A2,2009-11-25,52.1,17,230,5550,MALE,8.27595,-26.11657
PAL0910,91,Gentoo penguin (Pygoscelis papua),Biscoe,N15A1,2009-11-25,47.5,15,218,4950,FEMALE,8.29671,-26.08547
PAL0910,92,Gentoo penguin (Pygoscelis papua),Biscoe,N15A2,2009-11-25,52.2,17.1,228,5400,MALE,8.36701,-25.89834
PAL0910,93,Gentoo penguin (Pygoscelis papua),Biscoe,N18A1,2009-12-01,45.5,14.5,212,4750,FEMALE,8.15566,-26.22848
PAL0910,94,Gentoo penguin (Pygoscelis papua),Biscoe,N18A2,2009-12-01,49.5,16.1,224,5650,MALE,8.83352,-25.69195
PAL0910,95,Gentoo penguin (Pygoscelis papua),Biscoe,N19A1,2009-11-27,44.5,14.7,214,4850,FEMALE,8.20106,-26.16524
PAL0910,96,Gentoo penguin (Pygoscelis papua),Biscoe,N19A2,2009-11-27,50.8,15.7,226,5200,MALE,8.27102,-26.11244
PAL0910,97,Gentoo penguin (Pygoscelis papua),Biscoe,N20A1,2009-11-18,49.4,15.8,216,4925,MALE,8.03624,-26.06594
PAL0910,98,Gentoo penguin (Pygoscelis papua),Biscoe,N20A2,2009-11-18,46.9,14.6,222,4875,FEMALE,7.8881,-26.04726
PAL0910,99,Gentoo penguin (Pygoscelis papua),Biscoe,N21A1,2009-11-18,48.4,14.4,203,4625,FEMALE,8.16582,-26.13971
PAL0910,100,Gentoo penguin (Pygoscelis papua),Biscoe,N21A2,2009-11-18,51.1,16.5,225,5250,MALE,8.2066,-26.36863
PAL0910,101,Gentoo penguin (Pygoscelis papua),Biscoe,N22A1,2009-11-22,48.5,15,219,4850,FEMALE,8.10231,-26.18763
PAL0910,102,Gentoo penguin (Pygoscelis papua),Biscoe,N22A2,2009-11-22,55.9,17,228,5600,MALE,8.3118,-26.35425
PAL0910,103,Gentoo penguin (Pygoscelis papua),Biscoe,N23A1,2009-11-18,47.2,15.5,215,4975,FEMALE,8.30817,-26.21651
PAL0910,104,Gentoo penguin (Pygoscelis papua),Biscoe,N23A2,2009-11-18,49.1,15,228,5500,MALE,8.65914,-25.79203
PAL0910,105,Gentoo penguin (Pygoscelis papua),Biscoe,N24A1,2009-12-01,47.3,13.8,216,4725,NA,8.25818,-26.23886
PAL0910,106,Gentoo penguin (Pygoscelis papua),Biscoe,N24A2,2009-12-01,46.8,16.1,215,5500,MALE,8.32359,-26.05756
PAL0910,107,Gentoo penguin (Pygoscelis papua),Biscoe,N28A1,2009-11-10,41.7,14.7,210,4700,FEMALE,8.12311,-26.44815
PAL0910,108,Gentoo penguin (Pygoscelis papua),Biscoe,N28A2,2009-11-10,53.4,15.8,219,5500,MALE,8.41017,-26.33867
PAL0910,109,Gentoo penguin (Pygoscelis papua),Biscoe,N29A1,2009-11-09,43.3,14,208,4575,FEMALE,8.4207,-26.38092
PAL0910,110,Gentoo penguin (Pygoscelis papua),Biscoe,N29A2,2009-11-09,48.1,15.1,209,5500,MALE,8.45738,-26.22664
PAL0910,111,Gentoo penguin (Pygoscelis papua),Biscoe,N32A1,2009-11-20,50.5,15.2,216,5000,FEMALE,8.24691,-26.18466
PAL0910,112,Gentoo penguin (Pygoscelis papua),Biscoe,N32A2,2009-11-20,49.8,15.9,229,5950,MALE,8.29226,-26.21019
PAL0910,113,Gentoo penguin (Pygoscelis papua),Biscoe,N34A1,2009-11-27,43.5,15.2,213,4650,FEMALE,8.21634,-26.11046
PAL0910,114,Gentoo penguin (Pygoscelis papua),Biscoe,N34A2,2009-11-27,51.5,16.3,230,5500,MALE,8.78557,-25.76147
PAL0910,115,Gentoo penguin (Pygoscelis papua),Biscoe,N35A1,2009-11-25,46.2,14.1,217,4375,FEMALE,8.30231,-25.96013
PAL0910,116,Gentoo penguin (Pygoscelis papua),Biscoe,N35A2,2009-11-25,55.1,16,230,5850,MALE,8.08354,-26.18161
PAL0910,117,Gentoo penguin (Pygoscelis papua),Biscoe,N36A1,2009-12-01,44.5,15.7,217,4875,NA,8.04111,-26.18444
PAL0910,118,Gentoo penguin (Pygoscelis papua),Biscoe,N36A2,2009-12-01,48.8,16.2,222,6000,MALE,8.33825,-25.88547
PAL0910,119,Gentoo penguin (Pygoscelis papua),Biscoe,N38A1,2009-12-01,47.2,13.7,214,4925,FEMALE,7.99184,-26.20538
PAL0910,120,Gentoo penguin (Pygoscelis papua),Biscoe,N38A2,2009-12-01,NA,NA,NA,NA,NA,NA,NA
PAL0910,121,Gentoo penguin (Pygoscelis papua),Biscoe,N39A1,2009-11-22,46.8,14.3,215,4850,FEMALE,8.41151,-26.13832
PAL0910,122,Gentoo penguin (Pygoscelis papua),Biscoe,N39A2,2009-11-22,50.4,15.7,222,5750,MALE,8.30166,-26.04117
PAL0910,123,Gentoo penguin (Pygoscelis papua),Biscoe,N43A1,2009-11-22,45.2,14.8,212,5200,FEMALE,8.24246,-26.11969
PAL0910,124,Gentoo penguin (Pygoscelis papua),Biscoe,N43A2,2009-11-22,49.9,16.1,213,5400,MALE,8.3639,-26.15531
PAL0910,45,Chinstrap penguin (Pygoscelis antarctica),Dream,N86A1,2009-11-17,50.9,17.9,196,3675,FEMALE,9.43684,-24.16566
PAL0910,46,Chinstrap penguin (Pygoscelis antarctica),Dream,N86A2,2009-11-17,50.8,18.5,201,4450,MALE,9.45827,-24.35575
PAL0910,47,Chinstrap penguin (Pygoscelis antarctica),Dream,N87A1,2009-11-27,50.1,17.9,190,3400,FEMALE,9.46819,-24.45721
PAL0910,48,Chinstrap penguin (Pygoscelis antarctica),Dream,N87A2,2009-11-27,49,19.6,212,4300,MALE,9.34089,-24.45189
PAL0910,49,Chinstrap penguin (Pygoscelis antarctica),Dream,N88A1,2009-11-23,51.5,18.7,187,3250,MALE,9.6895,-24.43062
PAL0910,50,Chinstrap penguin (Pygoscelis antarctica),Dream,N88A2,2009-11-23,49.8,17.3,198,3675,FEMALE,9.32169,-24.41562
PAL0910,51,Chinstrap penguin (Pygoscelis antarctica),Dream,N90A1,2009-11-21,48.1,16.4,199,3325,FEMALE,9.46929,-24.48403
PAL0910,52,Chinstrap penguin (Pygoscelis antarctica),Dream,N90A2,2009-11-21,51.4,19,201,3950,MALE,9.43782,-24.36202
PAL0910,53,Chinstrap penguin (Pygoscelis antarctica),Dream,N92A1,2009-11-23,45.7,17.3,193,3600,FEMALE,9.415,-24.805
PAL0910,54,Chinstrap penguin (Pygoscelis antarctica),Dream,N92A2,2009-11-23,50.7,19.7,203,4050,MALE,9.93727,-24.59066
PAL0910,55,Chinstrap penguin (Pygoscelis antarctica),Dream,N93A1,2009-11-27,42.5,17.3,187,3350,FEMALE,9.56534,-24.60882
PAL0910,56,Chinstrap penguin (Pygoscelis antarctica),Dream,N93A2,2009-11-27,52.2,18.8,197,3450,MALE,9.77528,-24.56481
PAL0910,57,Chinstrap penguin (Pygoscelis antarctica),Dream,N94A1,2009-11-21,45.2,16.6,191,3250,FEMALE,9.62357,-24.78984
PAL0910,58,Chinstrap penguin (Pygoscelis antarctica),Dream,N94A2,2009-11-21,49.3,19.9,203,4050,MALE,9.88809,-24.59513
PAL0910,59,Chinstrap penguin (Pygoscelis antarctica),Dream,N95A1,2009-11-21,50.2,18.8,202,3800,MALE,9.74492,-24.404
PAL0910,60,Chinstrap penguin (Pygoscelis antarctica),Dream,N95A2,2009-11-21,45.6,19.4,194,3525,FEMALE,9.46985,-24.65786
PAL0910,61,Chinstrap penguin (Pygoscelis antarctica),Dream,N96A1,2009-11-27,51.9,19.5,206,3950,MALE,NA,-23.78767
PAL0910,62,Chinstrap penguin (Pygoscelis antarctica),Dream,N96A2,2009-11-27,46.8,16.5,189,3650,FEMALE,9.65061,-24.48153
PAL0910,63,Chinstrap penguin (Pygoscelis antarctica),Dream,N98A1,2009-11-19,45.7,17,195,3650,FEMALE,9.2671500000000009,-24.31912
PAL0910,64,Chinstrap penguin (Pygoscelis antarctica),Dream,N98A2,2009-11-19,55.8,19.8,207,4000,MALE,9.7046500000000009,-24.53494
PAL0910,65,Chinstrap penguin (Pygoscelis antarctica),Dream,N99A1,2009-11-21,43.5,18.1,202,3400,FEMALE,9.37608,-24.40753
PAL0910,66,Chinstrap penguin (Pygoscelis antarctica),Dream,N99A2,2009-11-21,49.6,18.2,193,3775,MALE,9.4618,-24.70615
PAL0910,67,Chinstrap penguin (Pygoscelis antarctica),Dream,N100A1,2009-11-21,50.8,19,210,4100,MALE,9.98044,-24.68741
PAL0910,68,Chinstrap penguin (Pygoscelis antarctica),Dream,N100A2,2009-11-21,50.2,18.7,198,3775,FEMALE,9.39305,-24.25255
